,producto_general,promedio_conteo_registros,desviacion_conteo_registros,promedio_suma_cantidad,desviacion_suma_cantidad,umbral_inf_conteo,umbral_sup_conteo,umbral_inf_cantidad,umbral_sup_cantidad,ult_mes_conteo,ult_mes_cantidad,anomalia_dism_conteo,anomalia_aum_conteo,anomalia_dism_cantidad,anomalia_aum_cantidad,diferencia_conteo,diferencia_cantidad
0,Acelga,75.8,31.2,126.7,56.9,13.4,138.3,12.8,240.5,25.0,52.0,0,0,0,0,-50.8,-74.7
1,Agraz,32.3,9.8,44.2,14.1,12.7,52.0,16.0,72.3,27.0,32.0,0,0,0,0,-5.3,-12.2
2,Aguacate,281.3,89.9,797.7,299.3,101.6,461.1,199.0,1396.3,534.0,1687.0,0,1,0,1,252.7,889.3
3,Ahuyama,810.0,127.4,2424.0,792.7,555.2,1064.8,838.7,4009.3,1020.0,2920.0,0,0,0,0,210.0,496.0
4,Aji,594.3,178.8,1112.3,424.3,236.8,951.8,263.7,1960.9,534.0,959.0,0,0,0,0,-60.3,-153.3
5,Ajo,2098.2,71.8,3116.7,501.0,1954.5,2241.8,2114.6,4118.7,2716.0,4097.0,0,1,0,0,617.8,980.3
6,Albahaca,47.5,15.7,91.7,24.0,16.1,78.9,43.7,139.6,40.0,82.0,0,0,0,0,-7.5,-9.7
7,Apio,1566.3,98.0,3011.0,198.2,1370.4,1762.3,2614.7,3407.3,1275.0,2690.0,1,0,0,0,-291.3,-321.0
8,Arandanos,60.5,40.2,109.5,109.2,-19.9,140.9,-108.9,327.9,29.0,38.0,0,0,0,0,-31.5,-71.5
9,Arracacha,137.0,47.3,314.2,112.8,42.4,231.6,88.6,539.7,74.0,139.0,0,0,0,0,-63.0,-175.2
10,Arveja,12.8,7.9,19.2,14.1,-3.0,28.7,-9.0,47.3,9.0,11.0,0,0,0,0,-3.8,-8.2
11,Banano,285.8,52.1,854.0,229.0,181.7,390.0,395.9,1312.1,315.0,808.0,0,0,0,0,29.2,-46.0
12,Berenjena,346.5,56.2,856.7,167.3,234.1,458.9,522.1,1191.2,292.0,1066.0,0,0,0,0,-54.5,209.3
13,Bijao,9.0,4.9,16.8,10.8,-0.7,18.7,-4.8,38.4,37.0,86.0,0,1,0,1,28.0,69.2
14,Brocoli,222.5,41.4,434.7,129.7,139.7,305.3,175.3,694.0,227.0,557.0,0,0,0,0,4.5,122.3
15,Cebolla,7778.8,399.9,16225.8,2856.3,6979.1,8578.6,10513.3,21938.3,7777.0,17930.0,0,0,0,0,-1.8,1704.2
16,Cebollin,569.0,70.5,941.2,137.3,428.0,710.0,666.5,1215.8,584.0,1086.0,0,0,0,0,15.0,144.8
17,Champinones,23.7,8.8,27.3,10.6,6.1,41.3,6.1,48.5,12.0,13.0,0,0,0,0,-11.7,-14.3
